team,year,league,wins,losses,ties,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17
Raging Rhinos,2023,PREMIER,4,10,0,74.35,105.45,84.7,102.3,78.2,116.75,131.55,98.05,87.95,83.25,69.5,117.65,113.55,135.4,,98.8,106.25
The Minutemen,2023,PREMIER,8,6,0,100.65,98.15,109.75,143.55,88.35,88.65,112.9,139.5,122.8,114.05,125.6,147.1,130.1,78.35,184.95,99.55,101.55
Act More Stupidly,2023,PREMIER,9,5,0,84.45,123.2,132.55,120.15,137.55,114.7,141,91.9,75.65,129.85,117.75,147.4,110.5,93.55,,109.95,105.45
Stark Direwolves,2023,PREMIER,5,9,0,125.7,88.85,108.05,70.4,104.5,131.8,83.8,108.1,96.05,84.4,126.45,82.45,111.8,109.2,,99.45,80.55
Indianapolis Aztecs,2023,PREMIER,6,8,0,118.05,137,126.5,148,91.5,100.35,94.75,113.25,80.85,136.5,82.5,115.8,141.25,107.6,70.3,103.2,122.55
Shton's Strikers,2023,PREMIER,9,5,0,182.6,122.25,117.4,126.25,116.55,117.85,98.35,126.4,111.65,112.15,104.5,117.25,133.55,92.5,92.2,130.2,
Team Pancake,2023,PREMIER,10,4,0,100.7,122.4,145.45,100.95,154.8,113.7,125.1,184.1,144.2,169.1,131.75,144.45,136.85,116.95,,116.85,121.15
CamDelphia,2023,PREMIER,7,7,0,94.8,115.85,122.45,118.65,147.95,88.9,108.35,123.15,97.65,101.2,71.5,83.9,95.2,116.35,96.2,121.45,126.55
El Guapo Puto,2023,PREMIER,7,7,0,45.5,124.35,83.1,97.4,134.45,103.05,118.75,105.7,89.2,78.55,127.05,158.25,80.9,123.65,86.7,121.35,
Team Dogecoin,2023,PREMIER,6,8,0,108.3,85.45,102.55,100.55,112.1,65.6,83.6,99.6,99.2,75.6,127.55,102.45,88,108.95,85,109.4,139.2
Johnkshire Cats,2023,PREMIER,7,7,0,73.85,112.95,128.75,119.9,105.65,109.25,112.85,113.7,139.45,118.05,96.4,132.6,138.6,107.45,110.5,85.85,
ChicagoPick6,2023,MASTERS,6,8,0,116.9,103.7,103.75,120.7,93.95,89.55,88.45,144.9,112.3,84.15,90.25,112.15,76.4,117.35,91.7,161.85,73.95
Frank's Little Beauties,2023,MASTERS,6,8,0,87.75,122.05,108.65,117.05,120.25,80.3,113.45,73.75,114.7,120.25,114.45,115.15,131.95,120.65,121.2,88.4,
Boca Ciega Banditos,2023,MASTERS,5,9,0,95.8,96.6,86.85,84,118.6,108.15,105,109.8,101.9,85.05,74.1,115.4,99.05,114.35,,72.25,106.05
Fort Wayne Banana Bread,2023,MASTERS,7,7,0,77.9,124.55,129.45,109.45,151.25,106.2,110.45,119.05,100.45,126.7,76.1,119.8,108.85,68.55,80.25,79.65,114.55
The Stallions,2023,MASTERS,8,6,0,104.6,100.95,105.25,142.65,113.1,101.1,116.65,104.2,135.05,102.2,122.3,112.95,112.9,97.15,114.8,146.1,
Dark Knights,2023,MASTERS,5,9,0,75.7,115.2,93.4,88.5,62.4,82.6,102.05,146.1,70.45,119.75,121.9,113.3,77.35,134.75,,113.7,78.2
Malibu Leopards,2023,MASTERS,9,5,0,126.95,88.25,141.45,105.75,123.2,125.65,124.55,119.4,78.9,125.45,117.5,112.05,91.3,99.4,,100.45,133.7
Pottsville Maroons,2023,MASTERS,8,6,0,105.4,100.15,88.45,95.45,127.3,111.8,92.25,133.5,98.2,136.2,116.85,134.45,139.95,109.45,65.2,162.75,
